id,description,title,repin_count,text
21181060741360356,"The Toppu Mini Bowl is part of the popular Toppu series. The TOPPU series consist of decorative designs in ceramic and is one of our most popular design. TOPPU was first presented in the SS17 collection, and the characteristic stripes have since been further developed into a whole series of unique products, inspired by trends of the time. Use the bowl as a decorative element or for storage. Available in several colors and sizes. The series is made of 100% ceramic and is handmade.Product Overview",Toppu Mini Bowl in Caramel / Rose,0,"Toppu Mini Bowl in Caramel / Rose. The Toppu Mini Bowl is part of the popular Toppu series. The TOPPU series consist of decorative designs in ceramic and is one of our most popular design. TOPPU was first presented in the SS17 collection, and the characteristic stripes have since been further developed into a whole series of unique products, inspired by trends of the time. Use the bowl as a decorative element or for storage. Available in several colors and sizes. The series is made of 100% ceramic and is handmade.Product Overview"
21181060741360352, ,constellation,1,constellation.
21181060741360345,Blomb No. 03 50ml Eau de Parfum – Altar PDX,,0, Blomb No. 03 50ml Eau de Parfum – Altar PDX
21181060741360343,"Pyxis: This shimmer eyeshadow shade is named for the compass constellation, evoking the sunlit surface of seawater and bioluminescence beneath.",Celestial Sphere Gelée Eye Gloss: Pyxis,0,"Celestial Sphere Gelée Eye Gloss: Pyxis. Pyxis: This shimmer eyeshadow shade is named for the compass constellation, evoking the sunlit surface of seawater and bioluminescence beneath."
21181060741360342, ,Marshmalow flowers @inspirationbyblanca,1,Marshmalow flowers @inspirationbyblanca.
21181060741360341,"One of a kind matte white hand-built ceramic candelabra. Fits 3 candles. Includes 3 small beeswax taper candles. 9.5"" tall, 8.25"" wide, 4.25"" deep. Handmade by Dina No in Portland, OR.",Dina No Ceramic Candelabra  No. 13,0,"Dina No Ceramic Candelabra  No. 13. One of a kind matte white hand-built ceramic candelabra. Fits 3 candles. Includes 3 small beeswax taper candles. 9.5"" tall, 8.25"" wide, 4.25"" deep. Handmade by Dina No in Portland, OR."
21181060741267132,"""Playful dinner plates made from high-quality melamine, are durable and resistant to breakage, making them ideal for outdoors. Pick your favorite color or get mix of green and pink stripe set. Melamine dinner plates are perfect for picnics, lunch by the pool or enjoying your meal on the patio. (Heavy weight melamine gives the feeling of ceramics with approximate weight: 0.9lbs / 400gr per plate).   FEATURES Dishwasher safe - top rack only. BPA free. Not suitable for microwave. Durable. SPECIFICA",Melamine Vintage Style Striped Dinner Plates Set of 4pcs - High Quality heavy plastic -,0,"Melamine Vintage Style Striped Dinner Plates Set of 4pcs - High Quality heavy plastic -. ""Playful dinner plates made from high-quality melamine, are durable and resistant to breakage, making them ideal for outdoors. Pick your favorite color or get mix of green and pink stripe set. Melamine dinner plates are perfect for picnics, lunch by the pool or enjoying your meal on the patio. (Heavy weight melamine gives the feeling of ceramics with approximate weight: 0.9lbs / 400gr per plate).   FEATURES Dishwasher safe - top rack only. BPA free. Not suitable for microwave. Durable. SPECIFICA"
21181060741267126,Set Of 4 Colourful Stripe Side Plates,,0, Set Of 4 Colourful Stripe Side Plates
21181060741267125, ,Squiggle Frame CUSTOM/ MADE to ORDER,0,Squiggle Frame CUSTOM/ MADE to ORDER.
21181060741267119,Pop art hues with handmade decoupage beads covered in gorgeous vintage prints,Lenora Dame Queen Mum Lipgloss Choker Necklace,1,Lenora Dame Queen Mum Lipgloss Choker Necklace. Pop art hues with handmade decoupage beads covered in gorgeous vintage prints
